pr,title,type,skip_reason,author,merged_by,merged_at,labels,merge_sha,url
#31982,[BugFix] Add spec-decode-incompatible request param validation,runtime_bug,,njhill,njhill,2026-01-09,"ready, v1",11cec296dd47bbb25c3bb4e40bcc11341d6a2fe2,https://github.com/vllm-project/vllm/pull/31982
#31977,[Bugfix] Fix Typo from NVFP4 Refactor,runtime_bug,,robertgshaw2-redhat,simon-mo,2026-01-09,"ready, nvidia",0fa8dd24d281f71c0b0f6fb5b6033ca30d97f932,https://github.com/vllm-project/vllm/pull/31977
#31992,[Bugfix] Fix typo in FusedMoE LoRA reshape comment,runtime_bug,,xyang16,vllm-bot,2026-01-09,,8413868dab334b23cf8684671eccda3fdd96cc70,https://github.com/vllm-project/vllm/pull/31992
#30437,[Bugfix] missing tokens occur in harmony streaming,runtime_bug,,Ri0S,chaunceyjiang,2026-01-09,"frontend, ready, gpt-oss",e2d49ec2a4818186b8bafda43f97c298ff91a35e,https://github.com/vllm-project/vllm/pull/30437
#31949,[Bugfix] Fix FusedMoE LoRA w2_output_size,runtime_bug,,xyang16,robertgshaw2-redhat,2026-01-09,ready,707b240d7e7523c652b8a5b075ffc1ee9e1120ae,https://github.com/vllm-project/vllm/pull/31949
#31906,[Bugfix] Fix Var Length Batched Padding in Granite Speech,runtime_bug,,alex-jw-brooks,ywang96,2026-01-09,ready,dc77cb7129b9efa1c74a2a05f6359dde977f7c8b,https://github.com/vllm-project/vllm/pull/31906
#31921,[Bugfix] Fix OpenAPI schema test failures,runtime_bug,,AndreasKaratzas,ywang96,2026-01-09,"frontend, ready",020732800caf3ba1eae62098c4264dac7ef35611,https://github.com/vllm-project/vllm/pull/31921
#31380,[Bugfix][ROCm]Fix Qwen3-Next-80B-A3B-Thinking inference and optimize non-standard block size (544) support under rocm_atten,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),vllmellm,tjtanaa,2026-01-09,"bug, rocm, ready, v1, qwen",1a19e9cd87b6bb091fc9c530e6446601db52b58e,https://github.com/vllm-project/vllm/pull/31380
#30585,[Bugfix] Fix Triton FusedMoE LoRA,runtime_bug,,xyang16,jeejeelee,2026-01-09,"ready, v1, gpt-oss",e7b68f4d6c7e4b71820994566b7317f24e613b2e,https://github.com/vllm-project/vllm/pull/30585
#31616,[Bugfix] Narrow broad exceptions in compilation backends,runtime_bug,,c0de128,ProExpertProg,2026-01-10,ready,4dc0d606b78eb8dbb5e833ab45d3fbb1378edf35,https://github.com/vllm-project/vllm/pull/31616
#31295,[Bugfix][Hardware][AMD] Use dynamic WARP_SIZE in sampler vectorized_process,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,tjtanaa,2026-01-10,"rocm, ready",c60578de0a389d261fcb4d3323c75387b98b1fbb,https://github.com/vllm-project/vllm/pull/31295
#31857,[Bugfix] fix encoder cache leak of waiting requests in scheduler to solve stuck in CPU scheduling,runtime_bug,,frelam,ywang96,2026-01-10,"ready, v1",a01a1c0d691f89fa4788102eb0bd9b15607c1cca,https://github.com/vllm-project/vllm/pull/31857
#32076,[Bugfix] fix offline chat output prompt,runtime_bug,,andyxning,DarkLight1337,2026-01-10,"documentation, ready",14fc7a68c7d671d7bcea951a7edc6ac718ced964,https://github.com/vllm-project/vllm/pull/32076
#31657,[Bugfix] Fix integer overflow in Gemma3n audio processing,runtime_bug,,jeremyteboul,DarkLight1337,2026-01-10,"ready, multi-modality",07286ec5a6edf3a7a3623ddfc8db6a24b1d3c70a,https://github.com/vllm-project/vllm/pull/31657
#31583,[BugFix] scheduler: Fix resuming of preempted requests after async load,runtime_bug,,orozery,vllm-bot,2026-01-10,"ready, v1",028599739d617b76c55179a9dabddb458e1fe035,https://github.com/vllm-project/vllm/pull/31583
#31637,[Bugfix][Quantization] Ensure input contiguity in per_token_quant_int8,runtime_bug,,Flink-ddd,vllm-bot,2026-01-10,ready,6ea001cfb7549265e9053569b4b17126ebcfc2d0,https://github.com/vllm-project/vllm/pull/31637
#32089,[Bugfix] Fix Qwen3-VL-Reranker model loading for sequence classification,runtime_bug,,ricky-chaoju,vllm-bot,2026-01-10,"ready, qwen",8020a60402597740c7fbd0beba1d5f253983f82f,https://github.com/vllm-project/vllm/pull/32089
#31341,[BugFix] Wait for compute before offloading KV to CPU,runtime_bug,,orozery,njhill,2026-01-10,"ready, v1, kv-connector",2a4dbe24eadcb8e0354e47f608b53399aec52c43,https://github.com/vllm-project/vllm/pull/31341
#32101,[MTP][GLM][Bugfix] Fixed .weight_scale loading logic that dropped MTP prediction accuracy with fp8+mtp,runtime_bug,,andyl98,vllm-bot,2026-01-11,ready,0dd63639be24c67a0bccc9e3b0f0fd6ab039455d,https://github.com/vllm-project/vllm/pull/32101
#32037,[CPU][BugFix] Disable AOT Compile for CPU,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),fadara01,vllm-bot,2026-01-11,ready,9103ed16967390f3bbd6df104dcd162db43d3148,https://github.com/vllm-project/vllm/pull/32037
#31713,[Hardware][AMD][CI][Bugfix] Fix AMD Quantization test group,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),mawong-amd,vllm-bot,2026-01-11,"rocm, ready, ci/build",bde57ab2edb67533158a762823fba31e32f71a85,https://github.com/vllm-project/vllm/pull/31713
#32149,[Bugfix] Fix missing scale passing for encoder Triton Attention implementation ,runtime_bug,,Isotr0py,DarkLight1337,2026-01-12,"documentation, ready, v1",9dbe1fe960f9931a262c88b4082aa7551cf7dfc0,https://github.com/vllm-project/vllm/pull/32149
#32179,[ROCm] [Bugfix] Fix order of mori build in Dockerfile.rocm_base,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),tjtanaa,tjtanaa,2026-01-12,"rocm, ready, ci/build",0346396e94106edcbce13e083da172c119d0aa17,https://github.com/vllm-project/vllm/pull/32179
#32118,[Bugfix] Fix stale SSM state for new Mamba requests scheduled as decode,runtime_bug,,Josephasafg,heheda12345,2026-01-12,"ready, v1",8fb2c135be35d4d07b3ef25e36c51733345a01eb,https://github.com/vllm-project/vllm/pull/32118
#32196,[BugFix] fix FusedMoE.make_expert_params_mapping in EXAONE-MoE,runtime_bug,,lkm2835,vllm-bot,2026-01-12,,3d962d72ab01b7eb210a4719c24f1dd98d5c5c34,https://github.com/vllm-project/vllm/pull/32196
#32173,[BugFix] scheduler: Fix ordering preserving of skipped requests,runtime_bug,,orozery,njhill,2026-01-12,"ready, v1",2be765b68ace5efe4cba4d03495f543c85784688,https://github.com/vllm-project/vllm/pull/32173
#32031,[NIXL][Bugfix] Failure logging overhaul + early metadata free on failure,runtime_bug,,NickLucche,tlrmchlsmth,2026-01-12,"ready, v1, kv-connector",f8bd8394e3d06c18088d3f1a1944ca6001142400,https://github.com/vllm-project/vllm/pull/32031
#32199,[BUGFIX] Add missed remaping of the names of fp8 kv-scale,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),vadiklyutiy,pavanimajety,2026-01-12,"ready, qwen",9f430c94bd0b5cf5a697ddeefd4507ae078bb0ed,https://github.com/vllm-project/vllm/pull/32199
#31962,[Kernel][MoE] fix computation order of MoE weight multiplication and improve flow,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),xuebwang-amd,mgoin,2026-01-12,"bug, ready",629584bfc9fc5c88c24f6672ca536fae7f75b835,https://github.com/vllm-project/vllm/pull/31962
#32127,[BugFix] Fix engine crash caused by chat tools + response_format,runtime_bug,,njhill,njhill,2026-01-13,"ready, v1, tool-calling",c6bb5b56030df628697bcccad551276f81d2019e,https://github.com/vllm-project/vllm/pull/32127
#32099,[ROCm][Bugfix] Fix Mamba batched decode producing incorrect output,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,tjtanaa,2026-01-13,"rocm, ready",11b6af5280d6d6dfb8953af16e67b25f819b3be9,https://github.com/vllm-project/vllm/pull/32099
#31753,[BugFix]Fix eagle draft_model_config and add tests,runtime_bug,,charlotte12l,heheda12345,2026-01-13,ready,80221e1884bd36751e8ae0308acf71f42946a05e,https://github.com/vllm-project/vllm/pull/31753
#32243,[Bugfix] Replace `PoolingParams.normalize` with `use_activation`,runtime_bug,,DarkLight1337,DarkLight1337,2026-01-13,"documentation, frontend, ready",232214b2aece00201a2355ed7368452f761b76db,https://github.com/vllm-project/vllm/pull/32243
#29867,[Quantization] fix: overflow with static per-tensor scaling,runtime_bug,,mickaelseznec,mgoin,2026-01-13,"bug, ready, v1, deepseek",a5bbbd2f24983f309f915a1de911b9301e1699e2,https://github.com/vllm-project/vllm/pull/29867
#32169,[BugFix] [KVConnector] Fix KV events for LMCache connector,runtime_bug,,hickeyma,NickLucche,2026-01-13,"ready, kv-connector",510265472cb216daf7d8e83db6fa03ce48b0f5fc,https://github.com/vllm-project/vllm/pull/32169
#31980,"Add mergify label job for ""bug"" in PR titles",runtime_bug,,mgoin,vllm-bot,2026-01-13,"bug, ready, ci/build",9e65bb4ef4727f11655401250e03ba2754c66e67,https://github.com/vllm-project/vllm/pull/31980
#32336,[Bugfix][ROCm][performance] Resolve the performance regression issue of the Qwen3-Next-80B-A3B-Thinking under rocm_atten,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),vllmellm,tjtanaa,2026-01-14,"bug, rocm, ready, v1, qwen",e27078ea807cf5655c6be3b59608e55c1682756d,https://github.com/vllm-project/vllm/pull/32336
#32283,[BugFix] Assign page_size_padded when unifying kv cache spec.,runtime_bug,,Lumosis,heheda12345,2026-01-14,"bug, ready, v1",66652e8082b69ba7d1e6aca7c234433de55f1b9b,https://github.com/vllm-project/vllm/pull/32283
#31867,[Bugfix] Add CpuCommunicator.dispatch and combine to fix DP+MoE inference,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),kzwrime,bigPYJ1151,2026-01-15,"bug, ready, cpu",edadca109cf8b41aed3bb9cad11aaca058a6a4d0,https://github.com/vllm-project/vllm/pull/31867
#32201,[CI][AMD][Quantization][BugFix] Fix fp8 max in quant_utils.py and update test_fp8_quant.::test_static_fp8_quant_group_2d to use correct fp8 dtype and adjust atol/rtol,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),rasmith,tjtanaa,2026-01-15,"bug, rocm, ready",3c2685645ed602e3db8010cd62d88d3130115f06,https://github.com/vllm-project/vllm/pull/32201
#32361,[BugFix] Fix DeepSeek-V3.1 + DeepGEMM incompatible scale shapes,runtime_bug,,LucasWilkinson,ProExpertProg,2026-01-15,"bug, ready, deepseek",2c9b4cf5bf844de0471f77e6579e16c7bc3ee0d0,https://github.com/vllm-project/vllm/pull/32361
#32312,[Bugfix] Fix stale `common_attn_metadata.max_seq_len` in speculative decoding with Eagle,runtime_bug,,ofirzaf,LucasWilkinson,2026-01-15,"bug, speculative-decoding, ready, v1",e9ec2a72d845e1f3374c6de68e361edc6258c891,https://github.com/vllm-project/vllm/pull/32312
#32314,[Bugfix] Strengthen the check of X-data-parallel-rank in Hybrid LB mode,runtime_bug,,dtcccc,chaunceyjiang,2026-01-15,"bug, frontend, ready, v1",1e584823f8f9f7b8504c90dfa7689061537280da,https://github.com/vllm-project/vllm/pull/32314
#32372,[CI][BugFix][AMD][FP8] Fix test_rms_norm so it runs correctly on ROCm,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),rasmith,tjtanaa,2026-01-15,"bug, rocm, ready",8853a50af2a3d2a12700740aa6def37fed3142da,https://github.com/vllm-project/vllm/pull/32372
#32413,[ROCm][Bugfix] Disable hip sampler to fix deepseek's accuracy issue on ROCm,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),ganyi1996ppo,tjtanaa,2026-01-15,"bug, rocm, ready, v1, deepseek",77c16df31df16d09b2198b485a6d54cc14e98b69,https://github.com/vllm-project/vllm/pull/32413
#32348,[Model Runner V2] Support FlashInfer backend & Fix CUDA Graph bug [1/2],runtime_bug,,WoosukKwon,WoosukKwon,2026-01-15,"bug, v1, nvidia",6218034dd7f9a56596e4fd8c8c8fc1d8011ed9c2,https://github.com/vllm-project/vllm/pull/32348
#32362,[BugFix] Fix `assert x_s.shape[-1] == x_q.shape[-1] // group_shape[1]` in Blackwell Quantized MoE Test,runtime_bug,,LucasWilkinson,vllm-bot,2026-01-15,"bug, ready",c36ba69bda2602a75aeee70f201987e10c2dd238,https://github.com/vllm-project/vllm/pull/32362
#32416,[BugFix] Python file source reading can fail on UnicodeDecodeError,runtime_bug,,zou3519,luccafong,2026-01-15,"bug, ready",bd292be0c0fcdd139576fd83c8715af2eab4ca4f,https://github.com/vllm-project/vllm/pull/32416
#32447,[Bugfix] Fix ROCm dockerfiles,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),tjtanaa,tjtanaa,2026-01-16,"bug, rocm, ci/build",09f4264a55a7ba10b3fbcc49342211af22753f9c,https://github.com/vllm-project/vllm/pull/32447
#32175,[Bugfix] [DeepSeek-V3.2] fix sparse_attn_indexer padding,runtime_bug,,kebe7jun,LucasWilkinson,2026-01-16,"bug, ready, deepseek",5de6dd0662da663aa57127e82499d2c2d604c3d0,https://github.com/vllm-project/vllm/pull/32175
#26822,[bugfix] Fix online serving crash when text type response_format is received,runtime_bug,,cjackal,chaunceyjiang,2026-01-16,"bug, frontend, ready, tool-calling",35bf5d08e8e4345805cebf08b29777f217ddf879,https://github.com/vllm-project/vllm/pull/26822
#32438,[Bug] Add TPU backend option,runtime_bug,,vanbasten23,robertgshaw2-redhat,2026-01-16,"bug, ready",73f635a75f8a7b6655d45a26e34ac7b9a3ad11fd,https://github.com/vllm-project/vllm/pull/32438
#32306,[Bugfix] Refactor to support DP parallel in R3,runtime_bug,,xhx1022,youkaichao,2026-01-16,"bug, ready, v1",03da3b52ef6f3f3d9af5c1942c93a9ace7c2a6bf,https://github.com/vllm-project/vllm/pull/32306
#32418,[EPLB][BugFix]Possible deadlock fix,runtime_bug,,ilmarkov,tlrmchlsmth,2026-01-16,"bug, ready",c9a533079cc8c991c527eab029dbc990b4dc9d5d,https://github.com/vllm-project/vllm/pull/32418
#32540,[Bugfix] Fix GLM-ASR audio encoder RoPE dim,runtime_bug,,Isotr0py,DarkLight1337,2026-01-18,"bug, documentation, ready",38bf2ffb21d54eb67a68d4ba82125922f4a4c7ad,https://github.com/vllm-project/vllm/pull/32540
#32471,[Bugfix] Add OOT backend option,runtime_bug,,iboiko-habana,robertgshaw2-redhat,2026-01-18,"bug, ready",f5d17400303149bbb480f6abfb6f7bb646c1d895,https://github.com/vllm-project/vllm/pull/32471
#32417,[BUGFIX]  Fix degenerate strides in TRTLLM query tensors for FlashInfer backend. Fixes issue #32353,runtime_bug,,vadiklyutiy,pavanimajety,2026-01-19,"bug, ready, v1, nvidia",6101a26dc95631d9e0cfe217089b1bb7f73d533e,https://github.com/vllm-project/vllm/pull/32417
#32462,[BugFix] Fix embed_input_ids argument error of QwenVLForConditionalGeneration,runtime_bug,,honglyua-il,Isotr0py,2026-01-19,"bug, ready, qwen",976af2f314d1c7d54e3707e325df2b5961c069a4,https://github.com/vllm-project/vllm/pull/32462
#32340,[Nixl][Bugfix] Track `nixl_num_kv_expired_reqs` metric in Prometheus,runtime_bug,,NickLucche,markmc,2026-01-19,"bug, ready, kv-connector",758df5afe7ac8cdc8141fd25f472ee3632377d90,https://github.com/vllm-project/vllm/pull/32340
#32529,[BUGFIX] Fix `test_mla_backends.py`. Scale MLA projection weights to prevent numerical instability ,runtime_bug,,vadiklyutiy,robertgshaw2-redhat,2026-01-19,"bug, ready, v1",0727cc9ecf2ee511f952f5eed0f749e0e92cf57a,https://github.com/vllm-project/vllm/pull/32529
#32349,[BugFix] Fix TRT-LLM NVFP4 DP/EP,runtime_bug,,jiahanc,robertgshaw2-redhat,2026-01-19,"bug, ready, nvidia",73503317188e4b6430ab2857d98546b5b432cb43,https://github.com/vllm-project/vllm/pull/32349
#32652,[Bugfix] Fix the  fp8_mqa_logits dim mismatch,runtime_bug,,chaunceyjiang,youkaichao,2026-01-20,"bug, ready, deepseek",c4e5bdf61b00882749f9a4184c0576b4aa4ed512,https://github.com/vllm-project/vllm/pull/32652
#32603,[Bugfix] Fix Off-by-one error in _num_tokens_to_min_blocks calculation,runtime_bug,,lingebeng,yewentao256,2026-01-20,"bug, ready",7901109ea5c9794a5e7e01481343235e3a042971,https://github.com/vllm-project/vllm/pull/32603
#32687,[Bugfix] fix the ima issue of qwen-vit,runtime_bug,,JJJYmmm,Isotr0py,2026-01-20,"bug, ready, qwen",04a9e064db4dcf57519f1333796ba7face46248b,https://github.com/vllm-project/vllm/pull/32687
#31391,[Bugfix] Fix byte fallback handling when using outlines ,runtime_bug,,Alnusjaponica,mgoin,2026-01-20,"bug, documentation, structured-output, ready, v1",86c69dc54cc813b714afe8b123da64dcbbbd035e,https://github.com/vllm-project/vllm/pull/31391
#32703,[Bugfix] Suppress log on non-ROCm platform,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),tjtanaa,vllm-bot,2026-01-20,"bug, rocm, ready",9b67338b78f33dca5726191cead98ed913a96f4a,https://github.com/vllm-project/vllm/pull/32703
#32299,[Bugfix] Fix Granite Vision / Don't use Siglip Pooling Head Nested Models by Default ,runtime_bug,,alex-jw-brooks,DarkLight1337,2026-01-21,"bug, ready, multi-modality",27b81e010d09cb3f23eae5e4972f53ce4c0baf46,https://github.com/vllm-project/vllm/pull/32299
#32682,[Bugfix] Fix Nemotron-Nano-v2-vlm static resolution,runtime_bug,,netanel-haber,DarkLight1337,2026-01-21,"bug, ready",27ca95b3c9e6e32ac02508e729c01865800fd036,https://github.com/vllm-project/vllm/pull/32682
#32673,[Bugfix] Support HF sharded weights for Mistral3/Pixtral models,runtime_bug,,ricky-chaoju,vllm-bot,2026-01-21,"bug, ready",f23fb5a7c1b61350c5c40ca1115d3bf8cf2b8cc9,https://github.com/vllm-project/vllm/pull/32673
#32749,[Bugfix] Force using spawn multiprocess method when it's the WSL platform,runtime_bug,,jasonyanwenl,DarkLight1337,2026-01-21,"bug, ready",6bb2bc71e299c2f0d9ecb1fcebe54aa64e658307,https://github.com/vllm-project/vllm/pull/32749
#32727,[bugfix] Aria model,runtime_bug,,divakar-amd,vllm-bot,2026-01-21,"bug, ready",e14467be432bf55493c21ffd9f7d1d4c32e14e19,https://github.com/vllm-project/vllm/pull/32727
#32818,[Bugfix] Fix potential EAGLE spec decode segfault during graph capture,runtime_bug,,mawong-amd,LucasWilkinson,2026-01-22,"bug, speculative-decoding, ready, v1",c5487e2b96b2627e8c2def872449e3e43246f6a8,https://github.com/vllm-project/vllm/pull/32818
#32789,[Bugfix] Fix Whisper/encoder-decoder GPU memory leak,runtime_bug,,NickLucche,DarkLight1337,2026-01-22,"bug, ready, v1, multi-modality",ea6102b85da808b23055912391977f43fbe3f227,https://github.com/vllm-project/vllm/pull/32789
#32844,[Bugfix] ModelScope is supported when downloading LORA models.,runtime_bug,,AuYang261,Isotr0py,2026-01-22,"bug, ready",fc37187a51474b42c0b80cd672d3bdaacb0c026d,https://github.com/vllm-project/vllm/pull/32844
#32837,[Hardware][AMD][CI][Bugfix] Fix regressions from deprecated env vars,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),mawong-amd,DarkLight1337,2026-01-22,"bug, rocm, ready, ci/build, v1, kv-connector",c517d8c93404738effe29b5beea606111aba9258,https://github.com/vllm-project/vllm/pull/32837
#32795,[Bugfix][Attention] Explicitly report support for kv_cache_dtype bfloat16,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),MatthewBonanni,ProExpertProg,2026-01-22,"bug, ready, v1, cpu, nvidia",955b43a5a5142046bd8a1bd22fd219bf944a6265,https://github.com/vllm-project/vllm/pull/32795
#32855,[BugFix] Fix invalid flashinfer_fused_moe_blockscale_fp8 op registration,runtime_bug,,fadara01,mgoin,2026-01-22,"bug, ready, nvidia",fc56f4a0714bd1727ea100a9d75d18ce1a138684,https://github.com/vllm-project/vllm/pull/32855
#32884,[BugFix] deepseek_v32_encoding: Replace asserts with proper exceptions,runtime_bug,,RishabhSaini,chaunceyjiang,2026-01-23,"bug, ready, deepseek",f61c9da711d846220cb59738d10c0a937ffb80e2,https://github.com/vllm-project/vllm/pull/32884
#32777,[Bugfix] Fix _CPU_MOE_ACT AssertionError when vLLM config not set,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),karanb192,bigPYJ1151,2026-01-23,"bug, ready, cpu",fa6e599a618bba1e7edd3f6bcd708123fd625436,https://github.com/vllm-project/vllm/pull/32777
#32876,[CPU Backend][BugFix] Fix failing CPU MoE test,runtime_bug,,fadara01,bigPYJ1151,2026-01-23,"bug, ready",aac0b817fad9947608157529e68aa867ff76c804,https://github.com/vllm-project/vllm/pull/32876
#32927,[Benchmark][Bugfix] Fix race condtion when starting server for sweep benchmark,runtime_bug,,Isotr0py,DarkLight1337,2026-01-23,"bug, performance, ready",243e78c20fd74a68f86b6523c1f607eb3cc14ab2,https://github.com/vllm-project/vllm/pull/32927
#32933,[Bugfix] Fix getting vision features in Transformer Multimodal backend,runtime_bug,,zucchini-nlp,DarkLight1337,2026-01-23,"bug, ready",d95d65076292df5cfb4d06ed0bdba7496825c499,https://github.com/vllm-project/vllm/pull/32933
#32916,[Bugfix] Disable tma_aligned_scales in test_fusions_e2e,runtime_bug,,xyang16,ProExpertProg,2026-01-23,"bug, ready",90c200793237e61ea4c2b149d5f0394f7888b796,https://github.com/vllm-project/vllm/pull/32916
#32886,[Bugfix] Fix FP8 MoE EP Weight Loading for ModelOpt Llama4,runtime_bug,,baonudesifeizhai,ProExpertProg,2026-01-23,"bug, ready, llama",1fb648bf107e9c24e7f99671c77406d126506d7a,https://github.com/vllm-project/vllm/pull/32886
#32904,[Hardware][AMD][CI][Bugfix] Fix Kernels Attention Cache test,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),mawong-amd,LucasWilkinson,2026-01-23,"bug, rocm, ready",305e53ade8f7cbdbece6fd211eb45a612800e657,https://github.com/vllm-project/vllm/pull/32904
#32956,[Bugfix][CI] Fix pre-commit,runtime_bug,,MatthewBonanni,vllm-bot,2026-01-23,"bug, v1",2d6b537157af1ee2f65026b28a5258838e356f32,https://github.com/vllm-project/vllm/pull/32956
#32949,[Bug] Fix benchmark script `moe_permute_unpermute`,runtime_bug,,yewentao256,tlrmchlsmth,2026-01-23,"bug, performance, ready",dfab5f37648d123480acb8a6246c6abbd80dca58,https://github.com/vllm-project/vllm/pull/32949
#32831,[CI][AMD][BugFix] Update wvSplitK (and other skinny_gemm wrappers) to ensure tensors passed will be made contiguous for the kernel,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),rasmith,tjtanaa,2026-01-23,"bug, rocm, ready",6cc6d92be5e64f449e31e06d43c80955f646809e,https://github.com/vllm-project/vllm/pull/32831
#32935,[Bugfix] Fix missing is_layer_skipped check for FusedMoE in AWQConfig,runtime_bug,,joninco,yewentao256,2026-01-23,"bug, ready",ebd0a17e0e0b5dd326dc6533cf4d8f49806e69e1,https://github.com/vllm-project/vllm/pull/32935
#32965,[Core][Bugfix] allow graceful worker termination,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),joerunde,njhill,2026-01-24,"bug, ready, v1",7e1f10d5622afe0049ba31765fa84a452dbfe9cb,https://github.com/vllm-project/vllm/pull/32965
#32279,[Bugfix] Fix FusedMoE LoRA kernel offs_token out of bound value,runtime_bug,,xyang16,jeejeelee,2026-01-24,"bug, ready",ecc3dd66cceebcd9fc48216ae3852a0e994fbdc1,https://github.com/vllm-project/vllm/pull/32279
#32646,[Bugfix] Fix E2E latency calculation and add warmup support in mm_processor benchmark,runtime_bug,,HirokenOvo,DarkLight1337,2026-01-24,"bug, performance, ready",6450b536a63d92d856d368c44c8d4250e31e2ea7,https://github.com/vllm-project/vllm/pull/32646
#32842,[Bugfix]: resolve torch.compile cache conflict between mm_encoder_tp_modes,runtime_bug,,HirokenOvo,DarkLight1337,2026-01-24,"bug, ready",1209b784f2ba976eff2ea24bc33c61f35c6eb213,https://github.com/vllm-project/vllm/pull/32842
#33002,[CPU Backend][BugFix] Fix failing Darwin pipelines,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),fadara01,bigPYJ1151,2026-01-24,"bug, ready, ci/build, cpu",17ab54de81521fa3a3f2485c3897750b8ace6dc9,https://github.com/vllm-project/vllm/pull/33002
#32684,[Bugfix] fix encoder cache hang in Qwen3VL,runtime_bug,,JJJYmmm,Isotr0py,2026-01-25,"bug, ready, multi-modality, qwen",7e67df5570e2afc6a92833096898689c91244fb6,https://github.com/vllm-project/vllm/pull/32684
#32836,[BugFix]  Add env variable to control PDL in LoRA,runtime_bug,,jeejeelee,jeejeelee,2026-01-25,"bug, ready",73b243463b159433ff49c65b54c2e3d66a2e434e,https://github.com/vllm-project/vllm/pull/32836
#32969,[Bugfix][VLM] Fix transformers backend embed_multimodal for Qwen2.5-VL profiling,runtime_bug,,AndreasKaratzas,Isotr0py,2026-01-26,"bug, ready, qwen",22aeb430072f676424e7a27966b074d2710b29d4,https://github.com/vllm-project/vllm/pull/32969
#33052,[Bugfix] Fix Can't instantiate abstract class DeepseekV32IndexerBackend,runtime_bug,,chaunceyjiang,vllm-bot,2026-01-26,"bug, ready, v1, deepseek, kv-connector",9ef3b718d98ada5c02ebe67c2a545d3005a6b10d,https://github.com/vllm-project/vllm/pull/33052
#33018,[ROCm][Bugfix] Fix ptpc scale load issue for fused shared expert path in deepseek mtp,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),ganyi1996ppo,tjtanaa,2026-01-26,"bug, rocm, ready, deepseek",be6931ee275b477dbd5e7cb1b7f99dcd37a6807a,https://github.com/vllm-project/vllm/pull/33018
#33073,[Bugfix] Fix Voxtral streaming slot_mapping,runtime_bug,,NickLucche,ywang96,2026-01-26,"bug, ready",19ab0f7ce56af548d54632cfc278aefa894d797e,https://github.com/vllm-project/vllm/pull/33073
#33030,[Bugfix] Fix Dtypes for Pynccl Wrapper,runtime_bug,,robertgshaw2-redhat,robertgshaw2-redhat,2026-01-26,"bug, ready, nvidia",43a013c3a29194f7b88b1b611b3b0067592b8c67,https://github.com/vllm-project/vllm/pull/33030
#33104,[Bugfix][MXFP4] Call `trtllm_fp4_block_scale_moe` with kwargs,runtime_bug,,wpc,luccafong,2026-01-26,"bug, ready",8caffd92dfb011733b3c71c76756a687f64eb3ae,https://github.com/vllm-project/vllm/pull/33104
#32908,[Bugfix][TPU] Return a Default fp8 MoE Backend,runtime_bug,,vanbasten23,robertgshaw2-redhat,2026-01-26,"bug, ready",510ed1e8d3b1da814d3f2b516008b8a0bc2ee464,https://github.com/vllm-project/vllm/pull/32908
#32976,[AMD][Kernel][BugFix] Use correct scale in concat_and_cache_ds_mla_kernel when on gfx942,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),rasmith,tjtanaa,2026-01-27,"bug, rocm, ready",58996f3589434d99c320e6ee2460a231135f9641,https://github.com/vllm-project/vllm/pull/32976
#33164,[Bugfix] Disable CG for Whisper+FA2,runtime_bug,,NickLucche,DarkLight1337,2026-01-27,"bug, ready, v1",1f3a2c2944f240ff043c3b7e01c4ae81461b09ed,https://github.com/vllm-project/vllm/pull/33164
#33090,[Bugfix] Fix DeepseekV32 `AssertionError: num_kv_heads == 1`,runtime_bug,,NickLucche,NickLucche,2026-01-27,"bug, ready, deepseek, kv-connector",492a7983dd71fe0869aa5f77dcd050db1e37e31c,https://github.com/vllm-project/vllm/pull/33090
#33037,[BugFix] Fix P/D with non-MoE DP,runtime_bug,,njhill,njhill,2026-01-27,"bug, ready, v1, kv-connector",0cd259b2d8b3f5cc237bea833b283db54d21529c,https://github.com/vllm-project/vllm/pull/33037
#33020,[Bugfix] Fix display error (inconsistent with context),runtime_bug,,lingebeng,yewentao256,2026-01-27,"bug, ready",f5d7049cc119e9bc572f29267e270b82a39d6ec1,https://github.com/vllm-project/vllm/pull/33020
